Provinsi,Tahun,Produksi,Luas Panen,Curah hujan,Kelembapan,Suhu rata-rata,Produktivitas,Produksi_Lag1,Produksi_Lag2,Produktivitas_Lag1,Curah_Hujan_Mean_Provinsi,Curah_Hujan_Anomaly,Curah_Hujan_Kategori,Comfort_Index,Provinsi_Encoded,Curah_Hujan_Sedang,Curah_Hujan_Tinggi,Curah_Hujan_Sangat Tinggi
Bengkulu,2005,441276.0,116818.0,3375.2,84.7,25.7,3.777465801503193,414741.0,413375.0,3.7387968880995954,3228.0178571428573,147.18214285714248,Sangat Tinggi,24.308899999999998,1,False,False,True
Bengkulu,2006,378377.0,100991.0,2313.8,83.3,26.1,3.746640789773346,441276.0,414741.0,3.777465801503193,3228.0178571428573,-914.2178571428572,Tinggi,24.2403,1,False,True,False
Bengkulu,2007,470469.0,123853.0,3150.0,84.2,26.4,3.7986080272581204,378377.0,441276.0,3.746640789773346,3228.0178571428573,-78.01785714285734,Sangat Tinggi,24.7548,1,False,False,True
Bengkulu,2008,484900.0,127506.0,3396.0,84.2,26.3,3.8029582921588005,470469.0,378377.0,3.7986080272581204,3228.0178571428573,167.98214285714266,Sangat Tinggi,24.670600000000004,1,False,False,True
Bengkulu,2009,510160.0,132975.0,3850.0,84.1,26.5,3.8365106222974243,484900.0,470469.0,3.8029582921588005,3228.0178571428573,621.9821428571427,Sangat Tinggi,24.8095,1,False,False,True
Bengkulu,2010,516869.0,133629.0,3822.0,84.0,26.8,3.8679403422909697,510160.0,484900.0,3.8365106222974243,3228.0178571428573,593.9821428571427,Sangat Tinggi,25.032,1,False,False,True
Bengkulu,2011,502552.0,127934.0,2465.7,82.52,26.35,3.928212984820298,516869.0,510160.0,3.8679403422909697,3228.0178571428573,-762.3178571428575,Tinggi,24.21962,1,False,True,False
Bengkulu,2012,581910.0,144448.0,2545.0,82.0,26.9,4.028508529020824,502552.0,516869.0,3.928212984820298,3228.0178571428573,-683.0178571428573,Tinggi,24.517999999999997,1,False,True,False
Bengkulu,2013,622832.0,147680.0,3980.9,83.93,26.7,4.217443120260022,581910.0,502552.0,4.028508529020824,3228.0178571428573,752.8821428571428,Sangat Tinggi,24.927210000000002,1,False,False,True
Bengkulu,2014,593194.0,147572.0,3323.0,83.7,26.9,4.019692082508877,622832.0,581910.0,4.217443120260022,3228.0178571428573,94.98214285714266,Sangat Tinggi,25.026300000000003,1,False,False,True
